date,count,package
2008-05-25,0.0,broom
2008-05-26,0.0,broom
2008-05-27,0.0,broom
2008-05-28,0.0,broom
2008-05-29,0.0,broom
2008-05-30,0.0,broom
2008-05-31,0.0,broom
2008-06-01,0.0,broom
2008-06-02,0.0,broom
2008-06-03,0.0,broom
2008-06-04,0.0,broom
2008-06-05,0.0,broom
2008-06-06,0.0,broom
2008-06-07,0.0,broom
2008-06-08,0.0,broom
2008-06-09,0.0,broom
2008-06-10,0.0,broom
2008-06-11,0.0,broom
2008-06-12,0.0,broom
2008-06-13,0.0,broom
2008-06-14,0.0,broom
2008-06-15,0.0,broom
2008-06-16,0.0,broom
2008-06-17,0.0,broom
2008-06-18,0.0,broom
2008-06-19,0.0,broom
2008-06-20,0.0,broom
2008-06-21,0.0,broom
2008-06-22,0.0,broom
2008-06-23,0.0,broom
2008-06-24,0.0,broom
2008-06-25,0.0,broom
2008-06-26,0.0,broom
2008-06-27,0.0,broom
2008-06-28,0.0,broom
2008-06-29,0.0,broom
2008-06-30,0.0,broom
2008-07-01,0.0,broom
2008-07-02,0.0,broom
2008-07-03,0.0,broom
2008-07-04,0.0,broom
2008-07-05,0.0,broom
2008-07-06,0.0,broom
2008-07-07,0.0,broom
2008-07-08,0.0,broom
2008-07-09,0.0,broom
2008-07-10,0.0,broom
2008-07-11,0.0,broom
2008-07-12,0.0,broom
2008-07-13,0.0,broom
2008-07-14,0.0,broom
2008-07-15,0.0,broom
2008-07-16,0.0,broom
2008-07-17,0.0,broom
2008-07-18,0.0,broom
2008-07-19,0.0,broom
2008-07-20,0.0,broom
2008-07-21,0.0,broom
2008-07-22,0.0,broom
2008-07-23,0.0,broom
2008-07-24,0.0,broom
2008-07-25,0.0,broom
2008-07-26,0.0,broom
2008-07-27,0.0,broom
2008-07-28,0.0,broom
2008-07-29,0.0,broom
2008-07-30,0.0,broom
2008-07-31,0.0,broom
2008-08-01,0.0,broom
2008-08-02,0.0,broom
2008-08-03,0.0,broom
2008-08-04,0.0,broom
2008-08-05,0.0,broom
2008-08-06,0.0,broom
2008-08-07,0.0,broom
2008-08-08,0.0,broom
2008-08-09,0.0,broom
2008-08-10,0.0,broom
2008-08-11,0.0,broom
2008-08-12,0.0,broom
2008-08-13,0.0,broom
2008-08-14,0.0,broom
2008-08-15,0.0,broom
2008-08-16,0.0,broom
2008-08-17,0.0,broom
2008-08-18,0.0,broom
2008-08-19,0.0,broom
2008-08-20,0.0,broom
2008-08-21,0.0,broom
2008-08-22,0.0,broom
2008-08-23,0.0,broom
2008-08-24,0.0,broom
2008-08-25,0.0,broom
2008-08-26,0.0,broom
2008-08-27,0.0,broom
2008-08-28,0.0,broom
2008-08-29,0.0,broom
2008-08-30,0.0,broom
2008-08-31,0.0,broom
2008-09-01,0.0,broom
2008-09-02,0.0,broom
2008-09-03,0.0,broom
2008-09-04,0.0,broom
2008-09-05,0.0,broom
2008-09-06,0.0,broom
2008-09-07,0.0,broom
2008-09-08,0.0,broom
2008-09-09,0.0,broom
2008-09-10,0.0,broom
2008-09-11,0.0,broom
2008-09-12,0.0,broom
2008-09-13,0.0,broom
2008-09-14,0.0,broom
2008-09-15,0.0,broom
2008-09-16,0.0,broom
2008-09-17,0.0,broom
2008-09-18,0.0,broom
2008-09-19,0.0,broom
2008-09-20,0.0,broom
2008-09-21,0.0,broom
2008-09-22,0.0,broom
2008-09-23,0.0,broom
2008-09-24,0.0,broom
2008-09-25,0.0,broom
2008-09-26,0.0,broom
2008-09-27,0.0,broom
2008-09-28,0.0,broom
2008-09-29,0.0,broom
2008-09-30,0.0,broom
2008-10-01,0.0,broom
2008-10-02,0.0,broom
2008-10-03,0.0,broom
2008-10-04,0.0,broom
2008-10-05,0.0,broom
2008-10-06,0.0,broom
2008-10-07,0.0,broom
2008-10-08,0.0,broom
2008-10-09,0.0,broom
2008-10-10,0.0,broom
2008-10-11,0.0,broom
2008-10-12,0.0,broom
2008-10-13,0.0,broom
2008-10-14,0.0,broom
2008-10-15,0.0,broom
2008-10-16,0.0,broom
2008-10-17,0.0,broom
2008-10-18,0.0,broom
2008-10-19,0.0,broom
2008-10-20,0.0,broom
2008-10-21,0.0,broom
2008-10-22,0.0,broom
2008-10-23,0.0,broom
2008-10-24,0.0,broom
2008-10-25,0.0,broom
2008-10-26,0.0,broom
2008-10-27,0.0,broom
2008-10-28,0.0,broom
2008-10-29,0.0,broom
2008-10-30,0.0,broom
2008-10-31,0.0,broom
2008-11-01,0.0,broom
2008-11-02,0.0,broom
2008-11-03,0.0,broom
2008-11-04,0.0,broom
2008-11-05,0.0,broom
2008-11-06,0.0,broom
2008-11-07,0.0,broom
2008-11-08,0.0,broom
2008-11-09,0.0,broom
2008-11-10,0.0,broom
2008-11-11,0.0,broom
2008-11-12,0.0,broom
2008-11-13,0.0,broom
2008-11-14,0.0,broom
2008-11-15,0.0,broom
2008-11-16,0.0,broom
2008-11-17,0.0,broom
2008-11-18,0.0,broom
2008-11-19,0.0,broom
2008-11-20,0.0,broom
2008-11-21,0.0,broom
2008-11-22,0.0,broom
2008-11-23,0.0,broom
2008-11-24,0.0,broom
2008-11-25,0.0,broom
2008-11-26,0.0,broom
2008-11-27,0.0,broom
2008-11-28,0.0,broom
2008-11-29,0.0,broom
2008-11-30,0.0,broom
2008-12-01,0.0,broom
2008-12-02,0.0,broom
